Position,Team,Avg_Pos,Avg_GD,Avg_Points,Bottom_3,Make UCL,Win League
1,Bayern Munich,57.1716,73.6682,0.0,0.998,0.8191,1.2336
2,Borussia Dortmund,25.1382,67.4462,0.0,0.9156,0.1131,2.6575
3,Union Berlin,15.5584,64.5147,0.0,0.7535,0.04,3.5795
4,RB Leipzig,25.4981,63.4788,0.0,0.7233,0.021,3.7227
5,SC Freiburg,5.9646,60.0409,0.0,0.3185,0.005,4.9783
6,Eintracht Frankfurt,17.2182,59.1063,0.0,0.2844,0.0018,5.1089
7,VfL Wolfsburg,10.9902,49.2952,0.0,0.0046,0.0,7.8939
8,Borussia Mönchengladbach,2.235,46.0893,0.0002,0.0012,0.0,9.1379
9,Bayer Leverkusen,1.3621,45.8036,0.0005,0.0004,0.0,9.2753
10,Mainz 05,-2.2366,45.8429,0.0005,0.0005,0.0,9.3322
11,1. FC Köln,-4.3915,41.845,0.0065,0.0,0.0,10.9078
12,Werder Bremen,-14.8609,40.944,0.0147,0.0,0.0,11.4991
13,FC Augsburg,-15.9362,37.3784,0.0749,0.0,0.0,12.9682
14,VfB Stuttgart,-15.7765,32.1679,0.4052,0.0,0.0,14.9656
15,1899 Hoffenheim,-17.7373,31.7524,0.4497,0.0,0.0,15.1602
16,VfL Bochum,-32.7002,32.1839,0.4662,0.0,0.0,15.1958
17,Hertha BSC,-21.1394,30.1627,0.6162,0.0,0.0,15.7642
18,Schalke 04,-36.3578,23.8575,0.9654,0.0,0.0,17.6193
