Rank,Club,Country,Level,Elo,XG Elo,Transfer_Elo,Adjusted_Elo_Rating
1,Manchester City,ENG,1,2050.39233398,1915.8198762129741,2101.334989665735,2016.7492195382433
2,Inter Milan,ITA,1,1973.50268555,1847.379357529932,1760.5425356366732,1941.9718535449829
3,Real Madrid,ESP,1,1978.81335449,1830.7494541975484,1895.6314363328777,1941.7973794168872
4,Arsenal,ENG,1,1940.67529297,1895.5134772292304,1944.7546729496798,1929.3848390348076
5,Liverpool,ENG,1,1922.73144531,1864.6691215437415,1932.473863795479,1908.2158643684354
6,Bayern Munich,GER,1,1915.78430176,1884.5150685216697,1984.667302700831,1907.9669934504175
7,Bayer Leverkusen,GER,1,1916.88757324,1831.434326048175,1766.682940213773,1895.5242614420438
8,Barcelona,ESP,1,1903.08203125,1837.961700867973,1969.3162912580806,1886.8019486544931
9,Paris Saint-Germain,FRA,1,1881.30102539,1768.7200557925858,1806.5955699649248,1853.1557829906465
10,AC Milan,ITA,1,1870.28601074,1750.072564079058,1803.5253676763746,1840.2326490747646
11,Borussia Dortmund,GER,1,1873.95593262,1722.3332624904,1677.6470738458202,1836.0502650876
12,Atlético Madrid,ESP,1,1850.98156738,1766.0633501269954,1825.0167836962253,1829.752013066749
13,RB Leipzig,GER,1,1838.06848145,1797.6338402578606,1788.174356233624,1827.9598211519651
14,Juventus,ITA,1,1826.23413086,1748.5483366236588,1726.7703104626219,1806.8126823009147
15,Atalanta,ITA,1,1841.45153809,1698.3340678481338,1717.5597035969715,1805.6721705295336
16,Aston Villa,ENG,1,1846.43798828,1680.991417587665,1858.7890088702763,1805.0763456069162
17,Roma,ITA,1,1832.73156738,1688.5420418223841,1726.7703104626219,1796.6841859905958
18,Tottenham Hotspur,ENG,1,1824.8984375,1700.2081058989,1815.8061768305752,1793.725854599725
19,Newcastle United,ENG,1,1818.03442383,1710.4922709301404,1834.2273905618756,1791.148885605035
20,Napoli,ITA,1,1804.93200684,1732.8306548168616,1778.9637493679736,1786.9066688342155
21,PSV Eindhoven,NED,1,1792.36010742,1769.0494543741236,1613.1728257862678,1786.5324441585308
22,VfB Stuttgart,GER,1,1782.10803223,1778.7348795144017,1499.575341109914,1781.2647440511005
23,Sporting CP,POR,1,1796.87329102,1714.3519021227262,1416.6798793190612,1776.2429437956814
24,Chelsea,ENG,1,1779.08996582,1748.016414700699,1797.384963099274,1771.3215780401747
25,Benfica,POR,1,1789.85681152,1695.258599398796,1564.0495891694661,1766.2072584896991
26,Manchester United,ENG,1,1799.66748047,1665.4192172649057,1880.280424890127,1766.1054146687266
27,Girona,ESP,1,1771.79333496,1734.6879411844754,1502.645543398464,1762.5169865161188
28,Real Sociedad,ESP,1,1774.22619629,1727.038408923767,1742.1213219053723,1762.4292494484419
29,Athletic Bilbao,ESP,1,1772.36901855,1716.3397405538165,1674.57687155727,1758.361699050954
30,Bologna,ITA,1,1782.29150391,1667.8323317478116,1560.9793868809163,1753.6767108694528
31,Feyenoord,NED,1,1751.81018066,1750.4683189126963,1511.8561502641144,1751.4747152231741
32,Porto,POR,1,1769.07263184,1687.3304043157664,1493.434936532814,1748.6370749589416
33,Brighton & Hove Albion,ENG,1,1754.85632324,1706.167658093241,1699.138489865671,1742.6841569533103
34,Lille,FRA,1,1750.47424316,1701.5885451234121,1524.136959418315,1738.252818650853
35,Lazio,ITA,1,1764.08972168,1653.7386440017467,1735.980917328272,1736.5019522604366
36,West Ham United,ENG,1,1764.62963867,1625.857839940747,1763.6127379252232,1729.936688987687
37,Fiorentina,ITA,1,1746.32800293,1643.6353777547472,1668.43646698017,1720.654846636187
38,Fulham,ENG,1,1735.05163574,1671.934488670636,1668.43646698017,1719.272348972659
39,Marseille,FRA,1,1723.96582031,1702.22229947218,1646.9450509603191,1718.529940100545
40,Brentford,ENG,1,1724.71496582,1699.1486998385396,1717.5597035969715,1718.323399324635
41,Villarreal,ESP,1,1720.88244629,1685.3179992489722,1643.8748486717689,1711.991334529743
42,Monaco,FRA,1,1727.5489502,1654.3043997900381,1514.9263525526646,1709.2378125975097
43,Torino,ITA,1,1723.69030762,1657.0644250320047,1582.4708029007666,1707.0338369730011
44,Wolverhampton Wanderers,ENG,1,1723.54309082,1619.7804072336799,1653.0854555374194,1697.6024199234198
45,Bournemouth,ENG,1,1706.7154541,1669.7455228585377,1576.3303983236667,1697.4729712896344
46,Everton,ENG,1,1702.97009277,1676.688259405581,1637.734444094669,1696.3996344288953
47,Crystal Palace,ENG,1,1700.88635254,1671.4109852032416,1717.5597035969715,1693.5175107058105
48,RB Salzburg,AUT,1,1684.26843262,1719.073355544893,1355.275833548059,1692.9696633512235
49,Lens,FRA,1,1717.36181641,1617.6852661599214,1484.2243296671634,1692.4426788474805
50,Fenerbahçe,TUR,1,1709.52685547,1626.4942819498035,,1688.768712089951
51,Brest,FRA,1,1697.33459473,1642.66981924726,1456.5925090702124,1683.6684008593152
52,Valencia,ESP,1,1701.16516113,1631.0139606170715,1542.5581731496154,1683.627361001768
53,Slavia Prague,CZE,1,1700.61560059,1632.1942642557804,1324.573810662558,1683.510266506445
54,SC Freiburg,GER,1,1698.42260742,1638.2060629608725,1554.838982303816,1683.368471305218
55,Club Brugge,BEL,1,1700.61279297,1628.2247715401393,,1682.515787612535
56,Rennes,FRA,1,1695.75964355,1635.9783318732261,1665.3662646916196,1680.8143156308065
57,Sevilla,ESP,1,1697.40917969,1625.0818879583076,1637.734444094669,1679.327356757077
58,Real Betis,ESP,1,1696.62475586,1613.208439036672,1680.7172761343702,1675.770676654168
59,Galatasaray,TUR,1,1706.2869873,1572.1932756264166,,1672.7635593816042
60,Nice,FRA,1,1677.14855957,1657.7195099402988,1616.243028074818,1672.2912971625747
61,Eintracht Frankfurt,GER,1,1691.04101562,1615.836163610064,1521.0667571297645,1672.239802617516
62,Lyon,FRA,1,1685.17895508,1612.7711142178562,1487.2945319557134,1667.0769948644638
63,Zenit,RUS,1,1663.55883789,1670.2367731310528,,1665.2283217002632
64,Nottingham Forest,ENG,1,1661.37231445,1664.0748570954945,1646.9450509603191,1662.0479501113737
65,Osasuna,ESP,1,1669.38208008,1627.7913593210671,1579.4006006122167,1658.9843998902666
66,Leicester City,ENG,2,1655.89978027,1663.3928205362774,1622.3834326519184,1657.7730403365695
67,Getafe,ESP,1,1666.35192871,1627.839333051246,1582.4708029007666,1656.7237797953114
68,Mainz 05,GER,1,1653.16687012,1659.0383761996313,1588.611207477867,1654.634746639908
69,Leeds United,ENG,2,1654.32421875,1651.5716784744886,1511.8561502641144,1653.6360836811223
70,Borussia Mönchengladbach,GER,1,1662.05615234,1628.1843433585589,1539.4879708610654,1653.5882000946397
71,VfL Wolfsburg,GER,1,1641.15100098,1660.6543587826118,1616.243028074818,1646.026840430653
72,Monza,ITA,1,1683.71057129,1522.6132716156123,1493.434936532814,1643.436246371403
73,FC Augsburg,GER,1,1657.68005371,1595.478546519894,1499.575341109914,1642.1296769124735
74,Sparta Prague,CZE,1,1661.97363281,1577.5210674556135,1287.7313831999566,1640.8604914714033
75,Mallorca,ESP,1,1642.66357422,1634.749766300175,1536.4177685725151,1640.6851222400437
76,Genoa,ITA,1,1660.11987305,1581.916568176393,1499.575341109914,1640.5690468315984
77,Celta Vigo,ESP,1,1638.75756836,1632.5477796279654,1530.2773639954153,1637.2051211769913
78,Anderlecht,BEL,1,1653.25415039,1588.656281884475,1410.539474741961,1637.1046832636187
79,Union Berlin,GER,1,1649.88513184,1594.7956630133758,1567.1197914580162,1636.112764633344
80,Rayo Vallecano,ESP,1,1629.79125977,1638.8344940746222,1471.943520512963,1632.0520683461555
81,TSG Hoffenheim,GER,1,1643.32592773,1592.065974561944,1594.7516120549672,1630.510939437986
82,Union SG,BEL,1,1674.67358398,1497.6072655746054,,1630.4070043786514
83,Strasbourg,FRA,1,1633.4543457,1616.5989563998949,1404.3990701648606,1629.2404983749736
84,Montpellier,FRA,1,1634.38269043,1610.1041136357246,1336.8546198167583,1628.3130462314311
85,Reims,FRA,1,1632.91247559,1605.809269812949,1478.0839250900633,1626.1366741457373
86,Copenhagen,DEN,1,1640.43737793,1581.9686474272025,1327.644012951108,1625.8201953043008
87,Udinese,ITA,1,1645.11523438,1554.7950580618624,1560.9793868809163,1622.5351903004657
88,Burnley,ENG,1,1629.38635254,1601.2088445186014,1539.4879708610654,1622.3419755346504
89,Braga,POR,1,1637.00585938,1576.1173063209326,1490.3647342442634,1621.7837211152332
90,Toulouse,FRA,1,1634.97290039,1575.527508079405,1339.9248221053085,1620.1115523123513
91,Southampton,ENG,2,1617.23498535,1626.4329115533342,1591.6814097664173,1619.5344669008336
92,Werder Bremen,GER,1,1620.24621582,1601.8375479512433,1493.434936532814,1615.644048852811
93,Midtjylland,DEN,1,1637.43994141,1539.3409540352159,1309.2227992198075,1612.915194566304
94,Twente,NED,1,1624.47253418,1567.962332047251,1428.9606884732616,1610.3449836468126
95,Rangers,SCO,1,1627.3067627,1555.3154426206777,1352.205631259509,1609.3089326801694
96,Alavés,ESP,1,1601.81408691,1627.5380809994604,1220.1869328518542,1608.245085432365
97,Ajax,NED,1,1624.38916016,1545.9908700403973,1441.241497627462,1604.7895876300993
98,Genk,BEL,1,1614.25866699,1576.3567909055334,1379.8374518564597,1604.7831979688833
99,Eibar,ESP,2,1568.68591309,1710.0114203768642,,1604.017289911716
100,Celtic,SCO,1,1617.03222656,1564.961187669528,1438.1712953389117,1604.014466837382
101,Leganés,ESP,2,1564.72070312,1717.1605539684417,,1602.8306658321103
102,1. FC Heidenheim,GER,1,1626.29187012,1529.8392317510281,1238.6081465831548,1602.1787105277572
103,Cádiz,ESP,1,1602.46801758,1599.3086499897286,1490.3647342442634,1601.678175682432
104,PAOK,GRE,1,1613.54602051,1565.8743731751078,1410.539474741961,1601.628108676277
105,Lecce,ITA,1,1606.75537109,1582.9421680429455,1330.714215239658,1600.8020703282364
106,Las Palmas,ESP,1,1616.27697754,1551.4871140446262,1342.9950243938583,1600.0795116661566
107,1. FC Köln,GER,1,1618.83508301,1542.5783794003394,1475.013722801513,1599.770907107585
108,Olympiacos,GRE,1,1614.27966309,1553.946786393406,1428.9606884732616,1599.1964439158517
109,Shakhtar Donetsk,UKR,1,1603.09899902,1583.8125059937772,1355.275833548059,1598.2773757634445
110,Levante,ESP,2,1565.54663086,1695.764323094704,,1598.101053918676
111,Luton Town,ENG,1,1607.48632812,1568.1492348774511,1401.3288678763106,1597.6520548093627
112,Espanyol,ESP,2,1596.05700684,1596.5610528601871,,1596.1830183450468
113,Gent,BEL,1,1595.44152832,1590.4731056300259,1404.3990701648606,1594.1994226475067
114,Hellas Verona,ITA,1,1605.07336426,1552.536689347322,1471.943520512963,1591.9391955318304
115,Sassuolo,ITA,1,1608.52636719,1540.9766962136603,1548.6985777267157,1591.6389494459152
116,Empoli,ITA,1,1616.58459473,1514.346314855138,1444.311699916012,1591.0250247612844
117,Cagliari,ITA,1,1608.10803223,1536.4442805756837,1416.6798793190612,1590.192094316421
118,AEK Athens,GRE,1,1601.95373535,1554.1022505373094,1401.3288678763106,1589.9908641468273
119,Krasnodar,RUS,1,1560.79614258,1655.4187962902743,,1584.4518060075684
120,Valladolid,ESP,2,1588.79296875,1571.1209771440485,,1584.374970848512
121,VfL Bochum,GER,1,1593.13122559,1549.9827198829646,1413.609677030511,1582.3440991632413
122,Qarabağ,AZE,0,1596.61535645,1535.3148293195582,,1581.2902246673896
