Position,Team,Avg_Pos,Avg_GD,Avg_Points,Relegated,Make UCL,Win League
1,Barcelona,50.6555,90.3368,0.0,1.0,0.7241,1.2771
2,Real Madrid,46.9671,86.0052,0.0,1.0,0.2757,1.7314
3,Atlético Madrid,23.3193,70.0454,0.0,0.8863,0.0001,3.5182
4,Real Sociedad,13.7629,67.2005,0.0,0.7038,0.0001,4.0886
5,Real Betis,10.6528,63.4302,0.0,0.3556,0.0,4.8651
6,Villarreal,5.5075,55.7774,0.0005,0.0345,0.0,7.2771
7,Osasuna,-1.534,53.0533,0.0016,0.0085,0.0,8.3872
8,Athletic Bilbao,7.1818,52.6461,0.0024,0.0067,0.0,8.5847
9,Rayo Vallecano,0.27,51.6071,0.0025,0.0037,0.0,9.1439
10,Mallorca,-6.5982,47.5351,0.0348,0.0002,0.0,11.6089
11,Sevilla,-5.0843,47.0008,0.0448,0.0005,0.0,11.8565
12,Celta Vigo,-9.3416,46.5197,0.0479,0.0,0.0,12.2014
13,Girona,-4.7797,45.9277,0.0492,0.0,0.0,12.5047
14,Espanyol,-10.2933,43.3861,0.1532,0.0,0.0,14.2191
15,Cádiz,-22.1686,41.419,0.2836,0.0,0.0,15.3975
16,Almería,-17.836,41.1624,0.3009,0.0,0.0,15.5786
17,Valladolid,-21.4948,41.2096,0.3052,0.0,0.0,15.6087
18,Valencia,-3.803,40.5707,0.3391,0.0001,0.0,15.818
19,Getafe,-14.3608,39.8029,0.4348,0.0001,0.0,16.3408
20,Elche,-41.0226,21.6091,0.9995,0.0,0.0,19.9925
