Position,Team,Avg_Pos,Avg_GD,Avg_Points,Relegated,Make UCL,Win League
1,Manchester City,59.6697,88.2237,0.0,1.0,0.5217,1.4787
2,Arsenal,48.8481,88.5314,0.0,1.0,0.4783,1.5221
3,Manchester United,12.0585,72.3931,0.0,0.8777,0.0,3.6611
4,Newcastle United,31.2592,71.687,0.0,0.8806,0.0,3.6925
5,Tottenham Hotspur,14.9794,65.4919,0.0,0.1684,0.0,5.3549
6,Liverpool,23.1142,62.8569,0.0,0.0524,0.0,6.0103
7,Brighton & Hove Albion,16.8105,60.2763,0.0,0.0189,0.0,6.8388
8,Aston Villa,0.2166,57.2398,0.0,0.002,0.0,7.9292
9,Brentford,5.5579,52.7816,0.0,0.0,0.0,9.1564
10,Chelsea,-2.262,49.7987,0.0,0.0,0.0,10.2445
11,Fulham,-4.6571,48.5235,0.0,0.0,0.0,10.7106
12,Crystal Palace,-9.3559,45.2345,0.0011,0.0,0.0,11.935
13,West Ham United,-15.2762,39.7602,0.0473,0.0,0.0,14.1759
14,Wolverhampton Wanderers,-21.0592,39.5231,0.0508,0.0,0.0,14.4392
15,Bournemouth,-32.6141,37.9698,0.1464,0.0,0.0,15.3919
16,Leeds United,-19.5384,36.4615,0.2116,0.0,0.0,15.888
17,Everton,-23.7951,34.92,0.4069,0.0,0.0,16.8538
18,Leicester City,-14.8649,33.8716,0.4754,0.0,0.0,17.1763
19,Nottingham Forest,-36.8673,32.7462,0.7517,0.0,0.0,18.3109
20,Southampton,-32.2239,30.0594,0.9088,0.0,0.0,19.2299
