Position,Club,Avg_Pos,Avg_Points,Avg_GD,Win_League,Make_UCL,Relegation_or_Playoffs
1,Porto,1.7113,81.742,42.435,0.4932,0.8027,0.0
2,Benfica,2.1296,78.8533,43.4376,0.2689,0.6258,0.0
3,Sporting CP,2.2282,78.2749,39.6682,0.2371,0.5629,0.0
4,Braga,4.1496,62.4881,20.8405,0.0008,0.0086,0.0
5,Boavista,6.7039,49.8757,2.5047,0.0,0.0,0.0019
6,Famalicão,7.2238,48.1594,0.0843,0.0,0.0,0.0064
7,Vitória de Guimarães,7.4818,47.4539,-2.5837,0.0,0.0,0.0065
8,Casa Pia,10.005,41.5343,-5.239,0.0,0.0,0.0543
9,Gil Vicente,10.5711,40.3429,-2.4498,0.0,0.0,0.081
10,Arouca,10.9759,39.5653,-7.4674,0.0,0.0,0.0934
11,Moreirense,10.9917,39.5782,-10.8584,0.0,0.0,0.0997
12,Vizela,12.0243,37.4715,-10.9535,0.0,0.0,0.1648
13,Rio Ave,12.3694,36.7288,-11.9048,0.0,0.0,0.1948
14,Farense,12.4527,36.6463,-9.3417,0.0,0.0,0.1902
15,Estrela da Amadora,13.6355,34.1516,-15.2996,0.0,0.0,0.3243
16,Portimonense,14.8621,31.6066,-25.0953,0.0,0.0,0.4946
17,Estoril,15.6287,29.6912,-20.5035,0.0,0.0,0.6215
18,Chaves,15.8554,29.0086,-27.2736,0.0,0.0,0.6666
