Position,Team,Avg_Pos,Avg_GD,Avg_Points,Relegated,Make UCL,Win League
1,Napoli,55.8286,94.5193,0.0,1.0,1.0,1.0
2,Lazio,30.6603,74.014,0.0,0.9741,0.0,2.4235
3,AC Milan,19.4132,70.0039,0.0,0.8006,0.0,3.5814
4,Roma,17.3211,68.7083,0.0,0.6498,0.0,4.0392
5,Inter Milan,19.6187,67.01,0.0,0.4611,0.0,4.574
6,Atalanta,15.6513,62.3996,0.0,0.0854,0.0,6.1606
7,Juventus,28.2363,60.4043,0.0,0.0279,0.0,6.7222
8,Bologna,1.059,54.4614,0.0,0.001,0.0,8.8592
9,Fiorentina,3.3877,54.4629,0.0,0.0001,0.0,9.0698
10,Udinese,2.5043,50.8344,0.0,0.0,0.0,10.4401
11,Torino,-4.6388,50.5237,0.0,0.0,0.0,10.5675
12,Sassuolo,-5.9836,49.3232,0.0,0.0,0.0,11.1272
13,Monza,-12.2006,43.2567,0.0001,0.0,0.0,13.3649
14,Empoli,-13.1525,42.4772,0.0019,0.0,0.0,13.6619
15,Salernitana,-21.672,36.9422,0.0506,0.0,0.0,15.6342
16,Lecce,-14.1104,36.2133,0.1099,0.0,0.0,15.8879
17,Spezia,-24.2774,34.8915,0.1425,0.0,0.0,16.3667
18,Hellas Verona,-23.8366,30.7042,0.7072,0.0,0.0,17.6374
19,Cremonese,-34.9861,23.2057,0.9906,0.0,0.0,19.3185
20,Sampdoria,-38.8225,22.3096,0.9972,0.0,0.0,19.5638
