Group,Club,Avg_GS,Avg_GA,1st,2nd,3rd,4th
A,Bayern Munich,15.8979,7.7402,0.992,0.0076,0.0004,0.0
A,Manchester United,7.4905,-0.4994,0.0055,0.5165,0.3969,0.0811
A,Galatasaray,6.94,-2.614,0.0025,0.4319,0.418,0.1476
A,Copenhagen,3.259,-4.6268,0.0,0.044,0.1847,0.7713
B,Arsenal,12.1292,6.5166,0.8301,0.1375,0.03,0.0024
B,Lens,8.1687,-0.1667,0.1249,0.4827,0.2942,0.0982
B,PSV Eindhoven,6.0977,-3.9661,0.0304,0.2243,0.3446,0.4007
B,Sevilla,5.0087,-2.3838,0.0146,0.1555,0.3312,0.4987
C,Real Madrid,13.5545,5.1303,0.7368,0.2575,0.0055,0.0002
C,Napoli,11.4389,2.6884,0.2611,0.7102,0.0262,0.0025
C,Braga,5.4156,-3.4189,0.0019,0.0252,0.6948,0.2781
C,Union Berlin,3.236,-4.3998,0.0002,0.0071,0.2735,0.7192
D,Inter Milan,11.7286,4.7465,0.5139,0.3997,0.08,0.0064
D,Real Sociedad,11.6861,3.7,0.4554,0.4784,0.065,0.0012
D,RB Salzburg,6.3821,-2.6024,0.0295,0.1125,0.6579,0.2001
D,Benfica,3.352,-5.8441,0.0012,0.0094,0.1971,0.7923
E,Atlético Madrid,10.8486,3.2196,0.4855,0.3575,0.15,0.007
E,Feyenoord,10.3029,3.2866,0.4176,0.3815,0.1919,0.009
E,Lazio,8.1379,-0.9599,0.0951,0.2512,0.5776,0.0761
E,Celtic,3.1568,-5.5463,0.0018,0.0098,0.0805,0.9079
F,Paris Saint-Germain,9.8651,1.7652,0.4631,0.2939,0.1892,0.0538
F,Newcastle United,8.3643,2.3665,0.2489,0.3033,0.3145,0.1333
F,Borussia Dortmund,8.3043,-0.7122,0.2372,0.2725,0.3108,0.1795
F,AC Milan,5.7093,-3.4195,0.0508,0.1303,0.1855,0.6334
G,Manchester City,16.745,11.1206,0.9854,0.0146,0.0,0.0
G,RB Leipzig,10.894,2.8891,0.0146,0.9674,0.0178,0.0002
G,Young Boys,3.4191,-6.7716,0.0,0.0097,0.5769,0.4134
G,Red Star Belgrade,2.8162,-7.2381,0.0,0.0083,0.4053,0.5864
H,Barcelona,15.7354,10.332,0.9434,0.0565,0.0001,0.0
H,Porto,11.2469,5.4321,0.0564,0.918,0.0252,0.0004
H,Shakhtar Donetsk,5.5351,-4.1615,0.0002,0.0246,0.8723,0.1029
H,Antwerp,2.1419,-11.6026,0.0,0.0009,0.1024,0.8967
